1,1,1,2,1,9,29,3
2,1,3,4,2,10,30,3
3,1,5,6,2,11,29,3
4,1,7,8,3,12,29,3
5,1,9,10,4,13,29,3
6,1,11,12,4,14,29,3
7,1,13,14,5,15,29,2
8,2,15,16,1,9,29,7
9,2,17,18,2,16,29,7
10,2,19,20,3,12,29,7
11,2,21,22,3,17,31,7
12,2,23,24,4,18,32,7
13,2,25,26,2,19,29,6
14,2,27,28,2,20,33,7
15,2,29,30,5,21,29,4
16,2,31,32,4,18,29,1
17,3,33,34,1,9,29,7
18,3,35,36,3,10,34,6
19,3,37,38,4,19,29,7
20,3,39,40,6,12,29,7
21,3,41,42,7,22,35,7
22,3,43,44,8,18,36,7
23,3,45,46,0,0,37,7
24,3,47,48,0,0,29,7
25,3,49,50,3,23,32,4
26,3,51,52,5,24,34,1
27,4,53,54,1,9,29,7
28,4,55,56,2,16,29,7
29,4,57,58,3,18,38,7
30,4,59,60,4,21,29,7
31,4,61,62,4,12,39,7
32,4,63,64,0,19,40,7
33,4,65,66,0,25,41,7
34,4,67,68,0,26,42,3
35,4,69,70,0,27,44,4
36,5,71,72,1,9,29,4
37,5,73,74,2,12,29,4
38,5,75,76,2,10,38,4
39,5,77,78,4,28,29,4
40,5,79,80,5,21,29,4
41,5,81,82,5,14,29,4
42,5,83,84,0,19,43,4
